path_to_files,sample_id,pool_id,time_point,treatment,bioRep,techRep,tenXRep
run26204/pool4-BIO1-TEC1-TEN1-D52/5245STDY7544154/cellranger-hg19/outs/,5245STDY7544154,pool4,D52,no,1,1,1
run27173/pool6-BIO2-TEC2-TEN1-D52/5245STDY7685553/cellranger-hg19/outs/,5245STDY7685553,pool6,D52,no,2,2,1
run27007/pool8-BIO1-TEC1-TEN2-D30/5245STDY7654677/cellranger-hg19/outs/,5245STDY7654677,pool8,D30,no,1,1,2
run27172/pool8-BIO1-TEC2-TEN2-D52/5245STDY7685562/cellranger-hg19/outs/,5245STDY7685562,pool8,D52,no,1,2,2
run25838/pool2-BIO1-TEC2-TEN1-D30/5245STDY7423247/cellranger-hg19/outs/,5245STDY7423247,pool2,D30,no,1,2,1
run27192/pool7-BIO1-TEC1-TEN1-D30/5245STDY7640193/cellranger-hg19/outs/,5245STDY7640193,pool7,D30,no,1,1,1
run25528/pool1-BIO1-TEC2-TEN1-D30/5245STDY7387188/cellranger-hg19/outs/,5245STDY7387188,pool1,D30,no,1,2,1
run27192/pool7-BIO1-TEC1-TEN2-D30/5245STDY7640194/cellranger-hg19/outs/,5245STDY7640194,pool7,D30,no,1,1,2
run27369/pool9-BIO1-TEC2-TEN1-D30/5245STDY7717346/cellranger-hg19/outs/,5245STDY7717346,pool9,D30,no,1,2,1
run26753/pool5-BIO1-TEC1-TEN1-D52/5245STDY7631339/cellranger-hg19/outs/,5245STDY7631339,pool5,D52,no,1,1,1
run26204/pool4-BIO1-TEC2-TEN1-D52/5245STDY7544156/cellranger-hg19/outs/,5245STDY7544156,pool4,D52,no,1,2,1
run27252/pool7-BIO1-TEC1-TEN2-D52/5245STDY7660070/cellranger-hg19/outs/,5245STDY7660070,pool7,D52,no,1,1,2
run26754/pool5-BIO1-TEC2-TEN2-D52/5245STDY7631342/cellranger-hg19/outs/,5245STDY7631342,pool5,D52,no,1,2,2
run25838/pool3-BIO1-TEC1-TEN1-D30/5245STDY7423248/cellranger-hg19/outs/,5245STDY7423248,pool3,D30,no,1,1,1
run25528/pool2-BIO1-TEC1-TEN1-D11/5245STDY7386985/cellranger-hg19/outs/,5245STDY7386985,pool2,D11,no,1,1,1
run27369/pool9-BIO1-TEC2-TEN2-D30/5245STDY7717347/cellranger-hg19/outs/,5245STDY7717347,pool9,D30,no,1,2,2
run25802/pool1-BIO1-TEC1-TEN1-D52/5245STDY7426804/cellranger-hg19/outs/,5245STDY7426804,pool1,D52,no,1,1,1
run26018/pool4-BIO1-TEC2-TEN2-D30/5245STDY7520700/cellranger-hg19/outs/,5245STDY7520700,pool4,D30,no,1,2,2
run27762/pool9-BIO1-TEC2-TEN1-D52/5245STDY7741872/cellranger-hg19/outs/,5245STDY7741872,pool9,D52,no,1,2,1
run26746/pool5-BIO1-TEC2-TEN2-D30/5245STDY7603457/cellranger-hg19/outs/,5245STDY7603457,pool5,D30,no,1,2,2
run26746/pool5-BIO1-TEC2-TEN1-D30/5245STDY7603456/cellranger-hg19/outs/,5245STDY7603456,pool5,D30,no,1,2,1
run26746/pool5-BIO1-TEC1-TEN2-D30/5245STDY7603455/cellranger-hg19/outs/,5245STDY7603455,pool5,D30,no,1,1,2
run27286/pool9-BIO1-TEC2-TEN2-D11/5245STDY7697816/cellranger-hg19/outs/,5245STDY7697816,pool9,D11,no,1,2,2
run25838/pool3-BIO1-TEC2-TEN1-D30/5245STDY7423249/cellranger-hg19/outs/,5245STDY7423249,pool3,D30,no,1,2,1
run25528/pool2-BIO1-TEC2-TEN1-D11/5245STDY7386986/cellranger-hg19/outs/,5245STDY7386986,pool2,D11,no,1,2,1
run25530/pool3-BIO1-TEC2-TEN1-D11/5245STDY7386988/cellranger-hg19/outs/,5245STDY7386988,pool3,D11,no,1,2,1
run26746/pool5-BIO1-TEC1-TEN1-D30/5245STDY7603454/cellranger-hg19/outs/,5245STDY7603454,pool5,D30,no,1,1,1
run27369/pool9-BIO1-TEC1-TEN2-D30/5245STDY7717345/cellranger-hg19/outs/,5245STDY7717345,pool9,D30,no,1,1,2
run27172/pool8-BIO1-TEC1-TEN2-D52/5245STDY7685560/cellranger-hg19/outs/,5245STDY7685560,pool8,D52,no,1,1,2
run27762/pool9-BIO1-TEC1-TEN1-D52/5245STDY7741871/cellranger-hg19/outs/,5245STDY7741871,pool9,D52,no,1,1,1
run26204/pool4-BIO1-TEC2-TEN2-D52/5245STDY7544157/cellranger-hg19/outs/,5245STDY7544157,pool4,D52,no,1,2,2
run32619/pool20-BIO1-TEC1-TEN1-D52/5245STDY8711640/cellranger-hg19/outs/,5245STDY8711640,pool20,D52,no,1,1,1
run32619/pool21-BIO1-TEC1-TEN1-D52/5245STDY8711642/cellranger-hg19/outs/,5245STDY8711642,pool21,D52,no,1,1,1
run26746/pool7-BIO1-TEC2-TEN1-D11/5245STDY7619070/cellranger-hg19/outs/,5245STDY7619070,pool7,D11,no,1,2,1
run26746/pool7-BIO1-TEC1-TEN2-D11/5245STDY7619069/cellranger-hg19/outs/,5245STDY7619069,pool7,D11,no,1,1,2
run26746/pool7-BIO1-TEC2-TEN2-D11/5245STDY7619071/cellranger-hg19/outs/,5245STDY7619071,pool7,D11,no,1,2,2
run26746/pool7-BIO1-TEC1-TEN1-D11/5245STDY7619068/cellranger-hg19/outs/,5245STDY7619068,pool7,D11,no,1,1,1
run31186/pool14-BIO1-TEC1-TEN1-D52/5245STDY8119869/cellranger-hg19/outs/,5245STDY8119869,pool14,D52,no,1,1,1
run31186/pool15-BIO1-TEC1-TEN1-D52/5245STDY8119871/cellranger-hg19/outs/,5245STDY8119871,pool15,D52,no,1,1,1
run31618/pool17-BIO1-TEC1-TEN1-D52/5245STDY8354285/cellranger-hg19/outs/,5245STDY8354285,pool17,D52,no,1,1,1
run31618/pool16-BIO1-TEC1-TEN1-D52/5245STDY8354283/cellranger-hg19/outs/,5245STDY8354283,pool16,D52,no,1,1,1
run29660/pool13-BIO1-TEC2-TEN1-D11/5245STDY7962568/cellranger-hg19/outs/,5245STDY7962568,pool13,D11,no,1,2,1
run29660/pool13-BIO1-TEC1-TEN1-D11/5245STDY7962567/cellranger-hg19/outs/,5245STDY7962567,pool13,D11,no,1,1,1
run29832/pool13-BIO1-TEC2-TEN1-D30/5245STDY7991474/cellranger-hg19/outs/,5245STDY7991474,pool13,D30,no,1,2,1
run28783/pool11-BIO1-TEC1-TEN1-D11/5245STDY7878552/cellranger-hg19/outs/,5245STDY7878552,pool11,D11,no,1,1,1
run28634/pool10-BIO1-TEC1-TEN1-D30/5245STDY7844032/cellranger-hg19/outs/,5245STDY7844032,pool10,D30,no,1,1,1
run28634/pool10-BIO1-TEC2-TEN1-D30/5245STDY7844033/cellranger-hg19/outs/,5245STDY7844033,pool10,D30,no,1,2,1
run29820/pool12-BIO1-TEC2-TEN1-D30/5245STDY7940331/cellranger-hg19/outs/,5245STDY7940331,pool12,D30,no,1,2,1
run28746/pool11-BIO1-TEC2-TEN1-D11/5245STDY7878553/cellranger-hg19/outs/,5245STDY7878553,pool11,D11,no,1,2,1
run29299/pool12-BIO1-TEC1-TEN1-D11/5245STDY7920967/cellranger-hg19/outs/,5245STDY7920967,pool12,D11,no,1,1,1
run29299/pool11-BIO1-TEC2-TEN1-D52/5245STDY7923747/cellranger-hg19/outs/,5245STDY7923747,pool11,D52,no,1,2,1
run29749/pool12-BIO1-TEC1-TEN1-D52/5245STDY7982704/cellranger-hg19/outs/,5245STDY7982704,pool12,D52,no,1,1,1
run29299/pool12-BIO1-TEC2-TEN1-D11/5245STDY7920968/cellranger-hg19/outs/,5245STDY7920968,pool12,D11,no,1,2,1
run29299/pool11-BIO1-TEC1-TEN1-D52/5245STDY7923746/cellranger-hg19/outs/,5245STDY7923746,pool11,D52,no,1,1,1
run29832/pool13-BIO1-TEC1-TEN1-D30/5245STDY7991473/cellranger-hg19/outs/,5245STDY7991473,pool13,D30,no,1,1,1
run28950/pool10-BIO1-TEC2-TEN1-D52/5245STDY7887444/cellranger-hg19/outs/,5245STDY7887444,pool10,D52,no,1,2,1
run28950/pool10-BIO1-TEC1-TEN1-D52/5245STDY7887443/cellranger-hg19/outs/,5245STDY7887443,pool10,D52,no,1,1,1
run29749/pool12-BIO1-TEC2-TEN1-D52/5245STDY7982705/cellranger-hg19/outs/,5245STDY7982705,pool12,D52,no,1,2,1
run29660/pool12-BIO1-TEC1-TEN1-D30/5245STDY7940330/cellranger-hg19/outs/,5245STDY7940330,pool12,D30,no,1,1,1
run30079/pool13-BIO1-TEC1-TEN1-D52/5245STDY8012018/cellranger-hg19/outs/,5245STDY8012018,pool13,D52,no,1,1,1
run29299/pool11-BIO1-TEC1-TEN1-D30/5245STDY7899446/cellranger-hg19/outs/,5245STDY7899446,pool11,D30,no,1,1,1
run30079/pool13-BIO1-TEC2-TEN1-D52/5245STDY8012019/cellranger-hg19/outs/,5245STDY8012019,pool13,D52,no,1,2,1
